n_uni_tokens,n_bpe_tokens,n_chars,n_lines,valid_uni_chunk,valid_bpe_chunk
94,94,350,7,False,False
87,92,327,7,False,False
102,102,340,7,False,False
99,99,343,7,False,False
89,89,324,7,False,False
95,93,339,8,False,False
90,91,316,9,False,False
94,98,302,9,False,False
106,109,336,8,False,False
80,83,303,7,False,False
91,92,345,7,False,False
78,83,319,7,False,False
101,102,335,7,False,False
100,88,351,7,False,False
92,88,344,6,False,False
86,86,301,6,False,False
90,91,317,7,False,False
90,92,313,6,False,False
94,99,334,7,False,False
93,95,337,7,False,False
88,88,304,6,False,False
92,94,320,7,False,False
82,81,307,6,False,False
88,91,312,7,False,False
95,97,343,7,False,False
93,96,327,7,False,False
79,79,310,6,False,False
81,82,310,7,False,False
81,83,344,7,False,False
84,88,314,7,False,False
89,90,321,7,False,False
88,88,322,7,False,False
90,89,335,7,False,False
87,91,322,7,False,False
84,86,323,7,False,False
77,82,302,6,False,False
175,91,499,8,True,False
92,91,323,8,False,False
94,93,336,7,False,False
92,89,335,7,False,False
89,95,325,7,False,False
99,103,328,7,False,False
92,102,320,6,False,False
98,103,352,7,False,False
88,95,309,7,False,False
86,89,306,7,False,False
100,100,349,7,False,False
91,95,334,7,False,False
81,80,307,6,False,False
86,86,301,7,False,False
91,96,323,8,False,False
83,89,327,7,False,False
94,95,337,8,False,False
84,85,319,7,False,False
95,92,339,7,False,False
96,99,318,7,False,False
81,84,312,8,False,False
91,91,319,6,False,False
99,98,326,7,False,False
94,95,307,6,False,False
108,107,340,8,False,False
98,97,331,8,False,False
97,103,344,8,False,False
84,86,323,6,False,False
91,91,306,8,False,False
84,85,314,7,False,False
90,94,318,7,False,False
74,77,317,7,False,False
97,94,322,7,False,False
91,92,325,7,False,False
90,91,318,7,False,False
83,85,311,7,False,False
84,86,332,7,False,False
91,94,325,7,False,False
98,100,350,8,False,False
88,89,317,7,False,False
95,97,341,7,False,False
83,84,304,6,False,False
75,80,311,6,False,False
243,248,942,20,True,True
78,81,326,6,False,False
87,89,309,6,False,False
79,82,316,6,False,False
93,92,324,7,False,False
89,90,326,7,False,False
85,88,337,7,False,False
92,93,339,8,False,False
82,81,311,7,False,False
490,506,1689,40,True,True
356,381,1224,24,True,True
515,536,1758,27,True,True
87,101,357,11,False,False
260,262,978,20,True,True
87,97,366,8,False,False
83,85,315,6,False,False
100,100,347,7,False,False
90,93,317,8,False,False
102,99,340,7,False,False
93,95,333,6,False,False
93,93,313,6,False,False
88,89,303,6,False,False
91,94,320,6,False,False
86,88,308,7,False,False
87,90,321,6,False,False
90,94,309,7,False,False
86,90,316,8,False,False
87,90,303,6,False,False
85,87,318,6,False,False
89,92,303,7,False,False
94,96,328,7,False,False
101,101,313,8,False,False
92,95,316,6,False,False
80,86,304,5,False,False
98,101,342,6,False,False
97,103,341,5,False,False
105,106,355,6,False,False
95,95,316,7,False,False
101,106,320,9,False,False
175,91,499,8,True,False
80,82,301,6,False,False
81,84,310,7,False,False
