n_tokens,n_chars,n_lines,valid_chunk
174,646,14,True
170,691,14,True
160,602,13,True
218,792,16,True
160,611,13,True
186,635,13,True
174,627,14,True
184,642,14,True
153,623,13,True
243,881,17,True
148,612,13,True
150,625,13,True
156,611,13,True
178,627,14,True
195,779,17,True
321,1088,22,True
204,722,29,True
227,863,17,True
177,647,16,True
173,645,15,True
167,618,14,True
168,623,14,True
166,610,15,True
161,609,12,True
168,605,13,True
165,619,14,True
168,646,16,True
166,611,13,True
174,629,12,True
168,613,14,True
179,650,15,True
174,610,14,True
168,601,13,True
158,643,14,True
205,765,18,True
176,642,14,True
190,622,11,True
187,613,15,True
185,608,15,True
181,603,13,True
176,630,15,True
182,608,14,True
384,1440,26,True
167,619,13,True
199,611,11,True
186,640,14,True
173,610,13,True
169,635,14,True
171,634,14,True
181,638,14,True
166,601,15,True
173,611,13,True
185,614,12,True
189,658,13,True
181,617,15,True
182,646,12,True
178,602,15,True
191,658,15,True
176,616,14,True
157,604,11,True
181,668,10,True
164,602,11,True
163,609,13,True
169,603,12,True
174,630,13,True
179,620,15,True
173,637,13,True
168,627,13,True
191,617,16,True
180,611,13,True
166,622,12,True
163,620,13,True
178,629,13,True
182,637,13,True
187,643,14,True
177,611,13,True
179,622,12,True
185,644,13,True
164,606,12,True
178,611,14,True
163,601,13,True
195,628,14,True
163,602,14,True
180,622,14,True
177,644,13,True
190,630,13,True
183,627,12,True
193,652,14,True
185,631,14,True
167,626,13,True
167,641,13,True
220,766,17,True
164,636,14,True
176,634,13,True
205,635,13,True
342,1073,21,True
200,665,15,True
351,1247,24,True
209,816,13,True
176,625,12,True
189,628,14,True
175,641,12,True
310,1070,22,True
159,614,13,True
160,625,12,True
175,636,16,True
182,605,13,True
166,602,13,True
183,627,15,True
181,644,15,True
181,641,14,True
172,624,15,True
208,646,17,True
319,1072,24,True
184,646,12,True
342,1174,24,True
242,847,19,True
439,1510,36,True
171,627,14,True
173,644,12,True
182,649,13,True
176,619,14,True
153,603,14,True
176,603,14,True
172,657,13,True
169,663,10,True
173,634,13,True
319,1139,20,True
468,1660,30,True
377,1302,22,True
174,652,14,True
215,632,12,True
180,634,13,True
176,613,13,True
186,617,14,True
173,603,12,True
171,609,13,True
189,618,13,True
170,612,14,True
174,612,13,True
162,639,16,True
167,662,13,True
159,620,10,True
184,634,13,True
166,607,13,True
326,1060,24,True
498,1758,41,True
236,846,19,True
327,1099,26,True
188,660,14,True
226,666,14,True
179,631,12,True
166,602,13,True
188,636,15,True
180,639,12,True
174,650,14,True
159,626,12,True
194,708,16,True
371,1330,30,True
204,763,17,True
236,863,18,True
168,628,12,True
156,605,9,True
162,637,10,True
206,750,16,True
185,652,12,True
174,625,10,True
179,617,12,True
178,634,13,True
207,755,16,True
383,1299,28,True
167,655,15,True
159,637,13,True
188,629,16,True
185,634,16,True
177,610,13,True
177,622,14,True
181,621,15,True
167,642,14,True
180,635,14,True
170,622,16,True
170,607,13,True
219,774,17,True
157,644,14,True
173,640,14,True
175,616,14,True
170,624,13,True
179,627,14,True
181,633,16,True
192,617,14,True
197,621,14,True
307,918,20,True
171,602,30,True
224,866,20,True
155,628,20,True
168,648,14,True
187,623,14,True
194,646,15,True
185,637,15,True
186,655,15,True
175,618,14,True
180,608,12,True
184,626,13,True
172,620,15,True
177,622,16,True
170,640,15,True
178,680,17,True
161,603,13,True
169,645,14,True
168,612,15,True
171,626,15,True
180,622,15,True
162,645,15,True
386,1422,30,True
206,799,17,True
191,634,13,True
186,612,13,True
174,653,13,True
182,646,14,True
325,1016,21,True
204,667,14,True
169,609,13,True
182,611,13,True
183,602,14,True
174,632,13,True
179,680,13,True
472,1580,34,True
384,1342,29,True
162,614,13,True
185,613,14,True
188,616,16,True
174,603,12,True
182,610,15,True
283,859,17,True
380,1293,30,True
466,1633,38,True
318,980,20,True
423,1562,31,True
450,1527,32,True
169,610,13,True
174,632,14,True
173,626,15,True
165,607,12,True
308,996,22,True
393,1366,30,True
172,603,15,True
184,610,14,True
184,624,13,True
198,638,16,True
185,653,13,True
178,603,15,True
180,656,13,True
175,602,13,True
182,638,13,True
165,662,14,True
177,613,15,True
184,638,15,True
178,612,15,True
177,617,14,True
181,620,15,True
183,647,16,True
221,800,18,True
239,705,14,True
190,629,15,True
188,626,13,True
191,646,15,True
178,627,13,True
199,658,14,True
198,651,14,True
174,603,13,True
170,626,12,True
176,635,13,True
177,628,12,True
190,601,13,True
432,1478,27,True
208,674,14,True
386,1276,29,True
201,787,19,True
168,628,14,True
185,643,13,True
162,602,15,True
184,635,14,True
