n_tokens,n_chars,n_lines,valid_chunk
296,997,20,True
308,1001,20,True
235,830,19,True
134,433,15,True
285,1013,21,True
204,680,13,True
32,70,2,False
309,1021,21,True
274,970,17,True
293,995,18,True
260,937,18,True
14,54,1,False
287,1009,23,True
293,957,21,True
257,1001,21,True
239,1001,26,True
8,51,1,False
279,989,20,True
68,258,6,False
124,400,10,False
283,992,22,True
320,995,24,True
296,1005,22,True
288,1010,23,True
159,579,13,True
23,82,2,False
274,995,22,True
238,805,18,True
3,17,1,False
292,990,21,True
53,177,4,False
10,47,1,False
282,998,20,True
303,1016,22,True
321,1010,23,True
292,1018,22,True
312,966,20,True
297,985,21,True
296,981,21,True
81,249,6,False
17,71,1,False
309,995,22,True
305,1021,22,True
294,1009,21,True
302,1006,23,True
281,1007,19,True
127,426,10,False
234,754,32,True
143,680,16,True
278,954,18,True
277,1019,18,True
116,365,7,False
5,22,1,False
265,983,18,True
288,1005,20,True
284,984,21,True
297,1013,23,True
278,988,21,True
281,976,20,True
101,338,7,False
4,19,1,False
280,1016,21,True
289,1003,21,True
285,1002,21,True
107,339,8,False
112,380,10,False
286,994,25,True
296,1006,23,True
287,1016,25,True
60,240,6,False
24,84,4,False
279,991,23,True
275,993,25,True
41,186,5,False
42,134,5,False
273,989,15,True
112,438,7,False
6,19,1,False
283,996,20,True
49,196,4,False
16,47,1,False
311,999,20,True
297,968,20,True
286,1011,19,True
120,410,9,False
268,951,25,True
198,718,16,True
131,507,12,True
246,866,19,True
146,560,15,True
288,1000,28,True
86,320,11,False
278,1015,22,True
130,502,11,True
157,586,16,True
191,693,19,True
294,994,25,True
284,974,24,True
269,975,23,True
213,818,17,True
200,723,20,True
260,926,23,True
248,890,22,True
280,970,23,True
153,575,14,True
31,115,2,False
280,974,20,True
275,978,23,True
278,922,23,True
30,111,4,False
301,1009,22,True
209,748,16,True
123,610,13,False
300,985,21,True
293,997,18,True
286,975,16,True
273,968,15,True
274,963,15,True
80,305,5,False
13,37,1,False
291,987,18,True
284,963,19,True
293,961,19,True
101,336,6,False
50,213,4,False
267,976,23,True
286,978,23,True
154,568,14,True
6,32,1,False
300,976,22,True
277,994,25,True
280,999,24,True
207,740,21,True
265,1021,18,True
227,897,15,True
61,260,5,False
263,1017,23,True
293,1007,27,True
278,974,21,True
313,999,21,True
284,978,22,True
113,397,11,False
4,19,1,False
288,1020,27,True
194,743,16,True
16,57,4,False
264,958,16,True
279,976,18,True
32,117,2,False
16,85,2,False
285,1006,20,True
80,293,7,False
7,30,1,False
280,983,21,True
45,196,4,False
6,27,1,False
272,1021,18,True
262,990,20,True
38,135,3,False
193,742,18,True
265,977,24,True
4,17,1,False
290,995,21,True
273,999,22,True
276,981,23,True
272,989,22,True
291,998,22,True
274,973,24,True
73,280,6,False
41,130,5,False
289,982,24,True
45,153,4,False
6,25,1,False
281,1006,24,True
297,998,24,True
296,975,22,True
291,1003,26,True
299,1020,23,True
282,971,22,True
277,971,21,True
271,1010,22,True
224,796,19,True
162,516,15,True
290,978,21,True
302,1009,26,True
268,985,22,True
273,950,24,True
288,1018,22,True
64,218,5,False
13,46,1,False
284,979,27,True
286,975,23,True
307,1016,25,True
289,993,24,True
61,216,5,False
193,677,19,True
183,629,19,True
282,1000,24,True
268,980,22,True
268,975,22,True
240,884,21,True
296,1017,23,True
286,974,22,True
279,997,22,True
94,314,12,False
325,1009,26,True
134,461,10,True
141,484,12,True
288,988,25,True
284,1003,24,True
292,1011,25,True
298,1011,23,True
288,1008,23,True
248,929,19,True
137,638,14,True
288,1016,22,True
286,997,22,True
290,1012,23,True
50,219,5,False
173,603,18,True
308,1003,24,True
301,986,25,True
230,804,17,True
26,81,4,False
300,1004,19,True
269,977,18,True
169,559,11,True
114,415,13,False
283,991,22,True
51,166,4,False
198,795,27,True
109,389,10,False
276,995,22,True
170,563,12,True
8,41,1,False
305,1014,22,True
276,1006,21,True
260,977,21,True
279,987,21,True
278,989,21,True
94,393,8,False
6,31,1,False
283,965,20,True
77,286,6,False
7,29,1,False
302,1004,20,True
295,1007,16,True
287,962,17,True
134,465,9,True
143,558,16,True
166,587,16,True
283,997,24,True
6,15,1,False
277,987,25,True
256,934,26,True
83,320,10,False
293,997,24,True
281,1008,25,True
221,752,18,True
5,25,1,False
291,985,23,True
214,803,17,True
21,83,4,False
268,971,22,True
270,1006,21,True
292,1013,21,True
125,613,13,False
303,1019,23,True
303,1009,24,True
296,1009,25,True
279,1003,22,True
20,77,4,False
277,975,23,True
273,996,20,True
272,998,18,True
70,226,5,False
5,30,1,False
263,988,15,True
274,1017,21,True
219,810,14,True
18,73,4,False
265,985,21,True
58,200,4,False
30,105,2,False
290,1020,23,True
282,975,22,True
297,1013,24,True
280,1014,23,True
258,974,20,True
274,999,22,True
274,982,20,True
287,992,20,True
270,994,21,True
284,998,22,True
129,477,11,True
17,59,4,False
300,1010,17,True
211,732,13,True
78,307,9,False
295,979,20,True
154,591,13,True
272,1004,28,True
15,53,1,False
307,1018,25,True
305,1006,23,True
268,994,22,True
32,128,5,False
173,646,16,True
280,998,23,True
296,979,22,True
305,976,22,True
288,995,22,True
244,915,21,True
306,990,30,True
121,579,14,False
281,1005,21,True
280,1007,22,True
295,992,21,True
261,973,22,True
9,38,1,False
282,1012,22,True
192,670,16,True
4,14,1,False
268,1003,22,True
101,349,8,False
5,25,1,False
273,999,23,True
167,537,15,True
133,531,15,True
285,987,25,True
63,236,6,False
19,61,4,False
297,1005,19,True
250,848,18,True
20,64,4,False
304,1001,24,True
262,946,21,True
99,327,12,False
277,1005,17,True
82,308,5,False
3,15,1,False
257,966,16,True
273,996,17,True
285,1004,18,True
267,974,16,True
275,1011,18,True
279,1005,17,True
272,986,17,True
195,772,13,True
25,72,4,False
272,1006,21,True
130,493,12,True
3,13,1,False
287,960,22,True
274,994,22,True
275,979,21,True
63,217,5,False
263,892,26,True
237,785,19,True
310,1018,24,True
294,971,25,True
299,1005,24,True
302,1016,27,True
277,993,23,True
288,985,22,True
272,1016,23,True
278,990,22,True
281,1000,22,True
284,975,25,True
118,582,13,False
298,978,18,True
295,974,22,True
286,985,21,True
95,349,7,False
39,130,4,False
315,1020,22,True
279,973,20,True
266,885,17,True
201,717,18,True
281,988,26,True
284,1009,22,True
28,107,3,False
3,17,1,False
275,994,20,True
95,350,7,False
156,526,17,True
274,999,23,True
306,1006,22,True
240,802,18,True
3,13,1,False
306,996,24,True
52,199,4,False
19,62,4,False
275,978,22,True
94,371,8,False
4,13,1,False
294,1017,26,True
280,1011,25,True
286,1012,26,True
283,1014,25,True
299,1018,23,True
300,1014,23,True
286,971,26,True
131,488,11,True
20,64,4,False
306,1006,21,True
225,774,16,True
139,663,14,True
285,988,23,True
312,1013,20,True
283,992,21,True
281,987,22,True
167,616,12,True
26,88,4,False
298,997,21,True
46,146,3,False
2,12,1,False
281,992,20,True
98,388,6,False
299,1001,21,True
263,887,19,True
29,107,4,False
282,995,21,True
296,999,22,True
288,976,21,True
288,1005,21,True
267,973,19,True
271,943,19,True
19,61,4,False
290,981,21,True
267,984,17,True
302,994,21,True
274,992,21,True
295,1000,22,True
282,993,23,True
295,1019,26,True
306,1019,25,True
299,1003,23,True
280,986,23,True
219,769,17,True
28,87,4,False
271,993,24,True
258,968,22,True
96,350,8,False
4,18,1,False
282,1011,22,True
128,422,9,True
220,776,21,True
289,978,25,True
294,1011,22,True
261,974,18,True
204,750,12,True
264,932,22,True
293,997,20,True
135,462,9,True
299,994,24,True
300,988,24,True
295,995,24,True
270,908,21,True
288,977,29,True
273,1022,15,True
117,464,7,False
32,110,4,False
304,1003,23,True
299,994,23,True
305,997,24,True
176,598,15,True
3,12,1,False
302,999,23,True
285,969,26,True
133,453,11,True
193,687,18,True
285,985,23,True
281,989,24,True
298,997,22,True
285,987,22,True
219,779,20,True
301,1012,25,True
307,990,23,True
302,994,23,True
213,778,18,True
234,864,22,True
77,288,8,False
274,983,18,True
296,976,20,True
296,996,20,True
10,40,1,False
290,992,22,True
301,1015,23,True
287,982,22,True
258,868,19,True
26,87,4,False
271,1021,22,True
279,988,23,True
175,625,12,True
25,86,4,False
286,989,24,True
292,1004,23,True
277,957,21,True
117,589,13,False
276,988,20,True
208,721,15,True
286,991,22,True
233,844,23,True
287,974,21,True
278,1001,20,True
307,1007,21,True
309,1016,21,True
195,683,14,True
262,885,24,True
296,988,20,True
175,602,12,True
119,452,8,False
234,944,24,True
235,963,26,True
241,912,26,True
302,994,21,True
184,572,12,True
204,714,15,True
203,699,15,True
295,1012,17,True
289,1015,17,True
46,161,3,False
266,925,20,True
288,1007,24,True
82,288,7,False
7,26,1,False
295,1016,24,True
301,1021,22,True
147,522,12,True
27,109,2,False
289,1014,21,True
308,1019,24,True
303,1012,23,True
289,1018,23,True
278,975,21,True
275,991,22,True
301,1018,22,True
287,997,22,True
298,979,22,True
305,1015,26,True
293,1011,24,True
301,1010,24,True
293,985,23,True
282,987,25,True
299,1009,27,True
282,989,21,True
296,1008,23,True
311,1005,26,True
289,1015,21,True
291,996,24,True
305,1009,25,True
300,1002,21,True
290,1007,23,True
241,792,17,True
267,769,31,True
191,788,20,True
216,661,19,True
305,990,26,True
124,425,11,False
3,12,1,False
289,1021,24,True
292,1014,23,True
310,1005,22,True
285,977,21,True
147,512,11,True
4,18,1,False
290,1014,25,True
295,1004,22,True
182,629,13,True
64,206,6,False
274,1004,21,True
268,962,20,True
250,969,20,True
295,1020,22,True
294,990,22,True
276,1004,22,True
275,1000,21,True
302,1003,21,True
159,569,12,True
13,39,1,False
301,975,22,True
312,1015,25,True
305,1017,23,True
340,996,28,True
299,990,24,True
67,218,5,False
22,81,4,False
295,990,24,True
260,980,21,True
189,621,14,True
3,15,1,False
289,1007,21,True
284,1008,22,True
297,1015,22,True
281,977,21,True
124,468,10,False
27,90,4,False
302,988,23,True
253,907,19,True
3,12,1,False
279,996,21,True
287,998,24,True
290,1014,24,True
27,91,4,False
307,1019,25,True
309,1020,25,True
291,990,24,True
307,1013,23,True
281,997,21,True
183,606,14,True
7,28,1,False
337,1022,28,True
272,834,22,True
7,28,1,False
305,986,24,True
281,984,21,True
55,232,5,False
122,588,13,False
316,1006,22,True
319,1020,26,True
312,996,22,True
235,748,19,True
3,14,1,False
330,1014,24,True
281,982,22,True
100,409,9,False
33,116,4,False
272,1011,21,True
254,1002,24,True
35,177,4,False
282,956,22,True
13,41,1,False
267,982,21,True
266,959,22,True
250,861,20,True
203,768,17,True
297,1018,23,True
305,1006,25,True
94,306,8,False
8,32,1,False
308,967,21,True
292,951,18,True
154,567,11,True
5,35,1,False
290,965,22,True
291,998,20,True
291,970,18,True
282,956,18,True
289,983,15,True
284,1007,18,True
281,993,18,True
232,820,15,True
172,601,14,True
329,1000,21,True
65,197,5,False
185,585,21,True
290,958,15,True
190,663,10,True
254,874,21,True
292,1008,21,True
147,505,11,True
310,1012,24,True
306,1016,19,True
304,1014,24,True
312,1013,23,True
295,997,22,True
133,481,10,True
126,625,13,False
283,984,24,True
271,972,24,True
280,976,22,True
44,177,4,False
3,13,1,False
298,1006,21,True
287,1007,24,True
283,970,22,True
286,993,19,True
297,987,17,True
195,655,13,True
5,24,1,False
271,993,21,True
114,405,9,False
23,79,4,False
315,1019,16,True
300,1018,16,True
156,580,10,True
99,373,10,False
284,998,21,True
256,892,20,True
59,223,4,False
328,989,22,True
306,969,22,True
39,120,2,False
281,1008,21,True
199,631,18,True
272,966,19,True
125,480,10,False
14,32,1,False
256,1018,21,True
248,985,20,True
64,231,5,False
295,985,23,True
254,872,20,True
309,1020,23,True
155,498,13,True
5,35,1,False
284,957,22,True
282,955,20,True
85,296,7,False
8,33,1,False
298,982,19,True
84,295,5,False
3,15,1,False
300,1001,21,True
93,323,7,False
20,76,4,False
270,985,22,True
116,409,9,False
3,15,1,False
267,987,21,True
281,1008,21,True
139,493,10,True
3,13,1,False
301,982,22,True
90,334,6,False
145,524,15,True
329,1018,23,True
299,1009,23,True
295,1019,23,True
285,998,21,True
307,1006,25,True
43,136,4,False
9,33,1,False
306,1018,24,True
284,1015,23,True
298,1015,22,True
292,1017,23,True
309,1013,23,True
294,977,22,True
29,149,3,False
120,605,13,False
280,1005,22,True
174,629,14,True
278,989,26,True
5,35,1,False
308,968,20,True
88,326,7,False
270,933,28,True
298,997,21,True
282,990,24,True
214,756,15,True
243,988,24,True
15,54,1,False
313,1017,23,True
291,1016,21,True
252,922,20,True
116,579,13,False
283,1017,21,True
35,130,3,False
240,825,31,True
302,1022,30,True
54,189,7,False
277,1013,18,True
205,723,15,True
217,780,20,True
315,1010,26,True
295,987,24,True
89,335,8,False
185,629,17,True
280,862,17,True
149,510,16,True
288,1018,24,True
203,923,22,True
286,996,16,True
74,327,5,False
156,739,17,True
284,1007,22,True
226,813,17,True
7,31,1,False
283,998,22,True
293,974,25,True
292,1013,23,True
298,1001,26,True
292,995,22,True
284,981,21,True
259,887,19,True
3,12,1,False
298,1016,22,True
205,750,17,True
123,585,13,False
311,1020,19,True
308,1020,20,True
184,568,13,True
177,611,15,True
307,1004,22,True
207,617,14,True
308,1014,17,True
